customer_id,gender,age,country,signup_date,last_purchase_date,acquisition_channel,device_type,subscription_type,is_premium_user,total_visits,avg_session_time,pages_per_session,email_open_rate,email_click_rate,total_spent,avg_order_value,discount_used,coupon_code,support_tickets,refund_requested,delivery_delay_days,payment_method,satisfaction_score,nps_score,marketing_spend_per_user,lifetime_value,last_3_month_purchase_freq,churn,never_purchased,days_since_last_purchase,customer_tenure_days,revenue_per_visit,engagement_score
10001,Male,52,India,2022-05-10,2024-12-31,Email,Tablet,Annual,1,7,13.9,5.42,0.67,0.26,559.52,65.25,0,NEW20,0,0,3,UPI,3.0,10,27.56,915.31,14,0,0,91,1057,79.93,0.51
10002,Unknown,35,Germany,2024-06-16,2024-05-07,Organic,Desktop,Monthly,0,19,5.11,5.35,0.7,0.37,356.49,48.47,1,NEW20,5,0,3,BKash,3.0,7,15.15,2079.96,11,0,0,329,289,18.76,0.54
10003,Female,27,Germany,2023-08-23,2024-04-28,Email,Mobile,Annual,1,18,9.74,3.59,0.47,0.44,689.33,77.82,0,NO_COUPON,1,0,2,UPI,5.0,6,13.51,1379.15,9,0,0,338,587,38.3,0.53
10004,Female,36,India,2024-01-28,2023-05-20,Facebook Ads,Tablet,Annual,1,16,9.64,2.95,0.58,0.37,445.43,71.71,0,NO_COUPON,0,0,2,PayPal,4.0,6,25.65,774.65,7,0,0,682,429,27.84,0.53
10005,Male,29,USA,2023-07-21,2024-04-07,Referral,Mobile,Monthly,0,12,7.79,2.41,0.05,0.16,686.29,44.99,1,NO_COUPON,2,1,4,BKash,3.0,1,12.39,87.68,11,0,0,359,620,57.19,0.29
10006,Male,29,Germany,2024-05-08,2023-01-20,Google Ads,Mobile,Monthly,0,13,13.27,2.88,0.12,0.33,423.24,95.63,0,NEW20,2,0,2,SEPA,3.0,10,16.3,467.45,14,0,0,802,328,32.56,0.41
10007,Male,39,UK,2022-01-04,2023-12-05,Email,Mobile,Monthly,0,15,7.63,2.24,0.57,0.45,519.51,55.94,1,SALE15,0,0,3,Card,5.0,10,29.76,1697.39,1,0,0,483,1183,34.63,0.48
10008,Female,35,Germany,2023-05-11,2024-02-14,Facebook Ads,Desktop,Annual,0,15,9.99,5.89,0.96,0.46,685.27,82.15,1,REF10,2,0,0,SEPA,3.0,5,18.86,1337.97,6,0,0,412,691,45.68,0.64
10009,Female,21,USA,2023-01-14,2024-08-19,Organic,Desktop,Monthly,1,10,11.41,4.59,0.99,0.22,78.62,72.95,0,NEW20,3,0,5,Card,4.0,7,27.14,648.01,2,1,0,225,808,7.86,0.6
10010,Female,35,Germany,2022-12-22,2024-09-04,Email,Tablet,Monthly,0,14,7.43,2.68,0.03,0.46,43.3,64.69,0,NEW20,0,0,3,SEPA,3.0,7,5.22,1360.48,9,1,0,209,831,3.09,0.31
10011,Male,35,Germany,2023-04-13,2024-03-09,Facebook Ads,Desktop,Annual,0,13,4.72,4.17,0.05,0.36,247.08,57.15,1,REF10,0,0,1,BKash,4.0,1,15.99,374.68,11,0,0,388,719,19.01,0.26
10012,Unknown,38,Bangladesh,2023-01-31,2023-07-21,Organic,Mobile,Annual,0,10,3.15,3.85,0.92,0.23,498.1,63.8,0,NO_COUPON,7,0,1,PayPal,2.0,1,8.04,239.31,12,1,0,620,791,49.81,0.45
10013,Female,54,Germany,2023-03-14,2023-01-25,Organic,Tablet,Monthly,1,14,9.34,5.03,0.73,0.15,575.82,33.15,1,REF10,2,0,3,UPI,4.0,10,8.87,572.99,2,0,0,797,749,41.13,0.55
10014,Male,36,India,2024-09-14,2023-01-31,Google Ads,Tablet,Monthly,1,11,8.07,5.33,0.07,0.45,173.41,87.03,1,REF10,3,0,2,Card,5.0,4,6.44,2067.64,0,1,0,791,199,15.76,0.29
10015,Male,41,India,2024-04-07,2024-04-12,Referral,Mobile,Monthly,0,15,6.83,5.93,0.05,0.44,911.24,90.43,0,NO_COUPON,2,1,3,Card,1.0,3,21.48,1131.47,3,1,0,354,359,60.75,0.32
10016,Male,25,UK,2023-06-25,2023-07-26,Google Ads,Desktop,Annual,0,13,8.25,2.39,0.11,0.13,299.56,89.67,1,NO_COUPON,0,0,5,SEPA,5.0,1,21.68,1873.92,10,0,0,615,646,23.04,0.33
10017,Male,43,Germany,2023-12-02,2024-02-06,Organic,Tablet,Annual,0,18,11.17,1.9,0.48,0.07,617.27,73.04,0,NO_COUPON,1,1,1,SEPA,4.0,1,28.53,364.36,7,0,0,420,486,34.29,0.55
10018,Female,35,UK,2022-02-15,2023-06-17,Email,Desktop,Monthly,0,7,10.3,5.4,0.64,0.3,262.08,43.51,0,REF10,6,0,5,UPI,5.0,4,18.92,1001.93,7,0,0,654,1141,37.44,0.44
10019,Male,36,USA,2023-09-01,2023-12-09,Referral,Tablet,Annual,0,15,6.97,2.93,0.47,0.31,667.76,41.07,0,NO_COUPON,1,0,2,SEPA,5.0,10,20.98,1212.14,13,0,0,479,578,44.52,0.44
10020,Male,34,USA,2022-02-18,2023-03-08,Organic,Mobile,Annual,0,13,7.61,3.43,0.27,0.08,178.12,34.74,1,SALE15,5,0,4,SEPA,1.0,1,12.33,1838.92,4,1,0,755,1138,13.7,0.37
10021,Female,45,Bangladesh,2022-04-30,2024-12-03,Referral,Mobile,Annual,0,17,11.25,4.15,0.22,0.41,666.44,2.33,1,NO_COUPON,1,0,1,Card,3.0,6,28.11,1719.28,8,0,0,119,1067,39.2,0.46
10022,Male,22,Bangladesh,2023-10-20,2023-01-11,Email,Tablet,Annual,1,10,6.09,4.51,0.34,0.28,396.46,47.26,0,NO_COUPON,3,0,1,Card,3.0,1,26.01,1223.99,1,0,0,811,529,39.65,0.33
10023,Male,12,Germany,2024-04-23,2024-02-15,Facebook Ads,Mobile,Annual,1,21,7.49,2.96,0.16,0.37,738.7,99.74,0,NO_COUPON,2,0,4,SEPA,3.0,2,12.8,1591.87,4,0,0,411,343,35.18,0.44
10024,Male,33,Germany,2024-01-31,2023-06-14,Facebook Ads,Mobile,Annual,0,15,10.46,5.93,0.07,0.49,452.19,83.9,0,SALE15,2,1,1,UPI,2.0,2,28.41,928.85,6,0,0,657,426,30.15,0.38
10025,Female,40,UK,2022-03-15,2023-05-20,Organic,Mobile,Monthly,1,15,10.86,4.82,0.01,0.25,724.84,56.06,0,REF10,0,0,1,PayPal,3.0,4,19.34,1885.99,1,0,0,682,1113,48.32,0.37
10026,Female,37,UK,2023-02-12,2024-04-25,Organic,Desktop,Monthly,1,13,7.69,6.35,0.07,0.36,169.46,86.71,1,NO_COUPON,4,0,1,SEPA,4.0,6,21.65,655.96,11,0,0,341,779,13.04,0.31
10027,Male,47,Germany,2023-05-10,2024-02-16,Google Ads,Tablet,Annual,0,18,14.02,5.11,0.6,0.32,65.9,52.43,0,NO_COUPON,1,0,3,SEPA,3.0,3,28.11,2621.15,0,0,0,410,692,3.66,0.63
10028,Female,39,Germany,2022-09-30,2023-09-19,Organic,Desktop,Monthly,0,20,8.42,5.16,0.37,0.19,462.12,67.2,0,NEW20,2,0,2,SEPA,2.0,9,12.91,126.37,2,1,0,560,914,23.11,0.5
10029,Female,29,Bangladesh,2022-04-17,2024-05-20,Facebook Ads,Mobile,Annual,1,17,4.1,5.94,0.09,0.24,894.0,55.57,0,NO_COUPON,1,0,4,UPI,4.0,5,12.16,155.97,4,0,0,316,1080,52.59,0.31
10030,Male,12,Bangladesh,2024-05-13,2023-08-01,Facebook Ads,Mobile,Monthly,1,22,11.33,5.51,0.51,0.24,316.92,70.33,0,REF10,3,1,3,BKash,2.0,4,25.88,1828.85,6,0,0,609,323,14.41,0.61
10031,Female,33,Bangladesh,2022-07-03,2023-12-11,Google Ads,Tablet,Monthly,0,9,6.41,6.39,0.56,0.04,469.23,77.22,1,SALE15,1,0,4,SEPA,3.0,2,27.56,362.01,2,0,0,477,1003,52.14,0.38
10032,Male,45,Germany,2022-12-11,2024-07-12,Email,Tablet,Monthly,0,19,10.05,0.78,0.48,0.25,197.44,5.68,1,NO_COUPON,5,0,3,UPI,3.0,2,22.76,2878.38,12,0,0,263,842,10.39,0.55
10033,Male,31,UK,2024-03-30,2023-02-05,Referral,Desktop,Annual,0,19,8.59,3.14,0.16,0.44,706.64,66.54,1,NEW20,4,0,3,Card,4.0,8,21.05,2490.25,3,0,0,786,367,37.19,0.43
10034,Other,35,India,2023-08-06,2024-08-16,Facebook Ads,Tablet,Annual,0,12,16.13,2.39,0.89,0.43,611.84,38.13,1,REF10,5,0,6,UPI,4.0,4,10.79,1971.06,8,0,0,228,604,50.99,0.67
10035,Unknown,39,India,2023-06-16,2023-02-13,Referral,Desktop,Monthly,0,15,6.8,1.48,0.28,0.01,1041.57,58.92,1,NO_COUPON,1,0,3,Card,4.0,3,16.33,620.07,5,0,0,778,655,69.44,0.38
10036,Female,25,UK,2023-10-31,2025-01-12,Organic,Desktop,Monthly,0,14,7.91,5.05,0.8,0.3,235.39,30.73,0,SALE15,0,0,2,Card,1.0,4,7.95,2642.88,13,0,0,79,518,16.81,0.54
10037,Male,41,UK,2022-12-05,2024-02-11,Organic,Tablet,Annual,0,18,7.81,6.98,0.67,0.06,498.1,103.38,1,NEW20,4,0,3,BKash,4.0,10,27.29,358.84,11,0,0,415,848,27.67,0.56
10038,Male,51,UK,2023-04-04,2023-03-28,Email,Tablet,Monthly,1,14,7.3,3.46,0.45,0.44,868.9,105.66,0,NEW20,1,0,2,SEPA,4.0,7,20.11,596.74,9,0,0,735,728,62.06,0.43
10039,Female,33,Bangladesh,2022-08-13,2023-02-04,Referral,Tablet,Monthly,0,12,4.37,4.07,0.26,0.07,490.76,72.55,1,REF10,3,0,2,Card,3.0,0,19.63,822.67,2,0,0,787,962,40.9,0.3
10040,Male,24,USA,2023-11-21,2024-03-28,Facebook Ads,Tablet,Annual,0,11,4.16,4.58,0.65,0.49,746.26,63.03,0,NO_COUPON,1,1,3,PayPal,4.0,10,27.49,1903.78,0,0,0,369,497,67.84,0.4
10041,Male,34,Germany,2023-01-10,2023-11-13,Google Ads,Desktop,Monthly,0,16,7.0,3.0,0.93,0.47,121.24,102.39,0,NO_COUPON,0,0,3,BKash,4.0,3,12.7,1589.32,0,0,0,505,812,7.58,0.6
10042,Female,13,Bangladesh,2023-09-22,2024-12-21,Facebook Ads,Tablet,Annual,0,14,8.08,4.29,0.81,0.18,52.32,82.71,0,NEW20,3,0,6,SEPA,3.0,3,18.3,1924.29,5,0,0,101,557,3.74,0.55
10043,Male,38,India,2024-06-29,2023-06-15,Referral,Mobile,Monthly,1,19,6.72,6.78,0.72,0.06,498.1,51.32,1,NEW20,1,0,5,SEPA,4.0,3,18.89,1808.72,14,0,0,656,276,26.22,0.57
10044,Other,40,Germany,2023-11-02,2023-06-29,Referral,Mobile,Monthly,1,15,6.82,3.08,0.28,0.06,304.29,74.49,1,REF10,0,0,4,Card,4.0,6,15.2,247.06,5,0,0,642,516,20.29,0.38
10045,Male,35,UK,2023-06-09,2024-05-28,Facebook Ads,Tablet,Annual,0,22,9.96,3.16,0.72,0.47,680.42,32.4,1,REF10,3,0,3,UPI,5.0,3,15.62,1475.55,10,0,0,308,662,30.93,0.66
10046,Female,33,India,2022-02-25,2024-03-22,Facebook Ads,Mobile,Annual,0,15,6.64,3.23,0.79,0.37,563.08,48.27,1,NEW20,2,0,5,BKash,3.0,10,13.76,1932.79,6,0,0,375,1131,37.54,0.53
10047,Male,39,UK,2022-08-28,2024-12-07,Email,Desktop,Monthly,0,9,3.65,3.44,0.07,0.43,1227.66,68.79,1,NO_COUPON,1,0,2,PayPal,2.0,7,16.62,685.7,10,0,0,115,947,136.41,0.19
10048,Female,26,UK,2022-10-02,2024-04-22,Organic,Mobile,Monthly,0,16,9.85,4.27,0.58,0.05,294.48,64.36,1,SALE15,3,0,2,SEPA,4.0,10,21.78,27.42,0,0,0,344,912,18.41,0.53
10049,Female,31,UK,2024-04-17,2023-12-19,Email,Tablet,Annual,0,10,11.26,2.39,0.51,0.48,870.02,38.94,0,NO_COUPON,4,0,2,SEPA,4.0,3,19.57,736.36,3,0,0,469,349,87.0,0.46
10050,Male,35,Germany,2024-07-12,2024-06-18,Facebook Ads,Mobile,Annual,0,13,9.66,4.02,0.79,0.29,495.71,34.67,0,SALE15,1,0,5,Card,5.0,2,14.93,1722.86,10,0,0,287,263,38.13,0.56
10051,Unknown,33,India,2023-02-10,2023-01-26,Facebook Ads,Mobile,Monthly,0,16,6.74,3.33,0.66,0.39,472.2,52.41,0,SALE15,0,0,4,Card,3.0,7,5.86,390.91,8,0,0,796,781,29.51,0.51
10052,Female,32,India,2023-10-30,2023-01-30,Google Ads,Tablet,Monthly,1,12,7.53,4.49,0.68,0.38,498.1,38.65,0,SALE15,3,0,1,PayPal,3.0,3,14.2,1348.32,4,0,0,792,519,41.51,0.48
10053,Other,38,UK,2023-08-15,2025-02-25,Organic,Desktop,Monthly,0,12,6.84,4.9,0.47,0.46,1147.63,45.48,1,REF10,1,1,5,BKash,4.0,8,21.08,1136.42,3,0,0,35,595,95.64,0.4
10054,Female,29,Bangladesh,2022-04-24,2024-11-09,Google Ads,Desktop,Monthly,0,10,9.32,4.2,0.94,0.07,950.09,34.7,0,SALE15,2,0,3,SEPA,5.0,6,19.32,303.31,6,0,0,143,1073,95.01,0.56
10055,Female,36,USA,2023-06-29,2024-08-24,Organic,Tablet,Annual,0,14,11.56,4.83,0.1,0.46,867.33,24.05,0,REF10,2,0,2,UPI,5.0,0,12.91,789.99,6,0,0,220,642,61.95,0.39
10056,Other,32,Bangladesh,2022-04-24,2023-08-12,Organic,Mobile,Monthly,1,8,9.19,2.48,0.19,0.44,677.68,98.86,1,NO_COUPON,0,0,5,BKash,3.0,0,22.0,648.09,10,0,0,598,1073,84.71,0.3
10057,Male,32,Germany,2024-07-29,2023-04-16,Referral,Desktop,Monthly,0,21,7.9,3.97,0.86,0.34,132.13,116.0,0,NO_COUPON,2,0,5,PayPal,4.0,2,6.88,150.72,1,0,0,716,246,6.29,0.65
10058,Male,36,USA,2023-03-08,2024-06-23,Organic,Tablet,Monthly,1,15,8.18,4.17,0.13,0.2,748.43,49.24,0,NEW20,4,0,5,PayPal,4.0,4,17.67,403.11,3,0,0,282,755,49.9,0.36
10059,Male,35,Bangladesh,2023-05-17,2024-09-30,Facebook Ads,Desktop,Monthly,0,18,9.21,3.76,0.35,0.22,492.73,68.59,0,NO_COUPON,1,0,2,SEPA,5.0,8,25.34,196.49,0,0,0,183,685,27.37,0.48
10060,Male,43,India,2023-01-06,2024-04-01,Organic,Tablet,Annual,0,26,13.46,3.3,0.03,0.05,704.22,46.27,1,NO_COUPON,5,0,3,PayPal,3.0,9,14.18,435.67,11,0,0,365,816,27.09,0.56
10061,Male,34,Bangladesh,2023-07-29,2023-03-02,Email,Desktop,Monthly,1,9,10.34,3.79,0.42,0.38,498.1,25.36,1,REF10,3,0,3,BKash,5.0,4,19.64,178.55,4,0,0,761,612,55.34,0.4
10062,Male,32,UK,2023-06-22,2023-06-25,Referral,Tablet,Annual,0,16,5.09,4.97,0.78,0.22,812.82,33.7,0,NEW20,0,0,5,SEPA,2.0,5,8.29,2396.51,11,1,0,646,649,50.8,0.52
10063,Female,33,Germany,2022-03-28,2024-08-29,Google Ads,Desktop,Annual,0,14,5.1,3.0,0.95,0.21,662.52,38.9,0,NEW20,3,0,1,PayPal,5.0,3,18.6,1243.82,1,0,0,215,1100,47.32,0.55
10064,Male,28,Bangladesh,2024-02-08,2024-04-07,Organic,Tablet,Annual,0,12,13.4,4.18,0.42,0.2,498.1,62.17,0,REF10,1,0,0,BKash,3.0,8,29.12,1907.34,10,0,0,359,418,41.51,0.49
10065,Male,31,Bangladesh,2023-03-22,2024-08-30,Google Ads,Mobile,Annual,0,15,10.15,5.17,0.11,0.1,440.16,14.74,0,NO_COUPON,4,0,6,UPI,5.0,9,8.35,2432.47,3,0,0,214,741,29.34,0.39
10066,Female,55,USA,2023-08-28,2023-05-21,Facebook Ads,Tablet,Monthly,1,16,4.91,5.17,0.07,0.44,234.29,84.7,0,NO_COUPON,2,0,2,SEPA,2.0,9,16.8,751.04,13,1,0,681,582,14.64,0.3
10067,Male,26,UK,2022-07-19,2023-03-27,Google Ads,Mobile,Monthly,0,17,5.43,2.66,0.55,0.37,462.72,35.52,1,NO_COUPON,1,0,2,BKash,3.0,3,21.15,1804.57,4,0,0,736,987,27.22,0.47
10068,Female,32,USA,2022-12-28,2024-05-02,Organic,Tablet,Monthly,1,14,7.9,4.29,0.69,0.32,81.18,73.64,1,NO_COUPON,1,0,3,Card,3.0,9,17.41,1013.8,13,1,0,334,825,5.8,0.51
10069,Male,31,Germany,2023-05-02,2024-09-26,Google Ads,Mobile,Annual,1,16,11.39,4.11,0.06,0.48,159.61,12.35,1,REF10,1,0,3,UPI,5.0,8,28.61,1231.38,0,0,0,187,700,9.98,0.4
10070,Unknown,33,Germany,2024-06-17,2024-01-30,Facebook Ads,Tablet,Monthly,0,9,5.26,4.38,0.7,0.41,461.82,73.81,1,NO_COUPON,2,0,2,SEPA,3.0,7,6.09,193.53,5,0,0,427,288,51.31,0.41
10071,Female,32,UK,2023-12-18,2023-12-19,Organic,Mobile,Annual,0,17,9.1,5.08,0.49,0.15,224.7,57.8,0,NO_COUPON,2,0,3,UPI,2.0,4,17.45,754.21,8,0,0,469,470,13.22,0.51
10072,Male,38,USA,2022-03-25,2024-12-28,Google Ads,Tablet,Annual,1,15,12.17,3.03,0.6,0.39,72.49,69.4,0,REF10,2,0,4,UPI,5.0,5,23.26,1944.13,4,0,0,94,1103,4.83,0.56
10073,Male,18,UK,2023-09-11,2024-02-28,Google Ads,Desktop,Monthly,1,16,5.77,5.48,0.94,0.27,99.03,57.27,0,REF10,3,0,1,BKash,4.0,0,27.6,2097.15,13,1,0,398,568,6.19,0.58
10074,Female,45,USA,2022-09-04,2023-04-18,Facebook Ads,Desktop,Monthly,0,12,6.98,3.28,0.19,0.18,439.51,71.83,1,NO_COUPON,4,1,2,SEPA,2.0,9,14.15,1676.71,7,0,0,714,940,36.63,0.32
10075,Female,41,India,2024-06-02,2023-06-28,Email,Desktop,Annual,0,11,15.34,4.35,0.12,0.3,678.22,58.04,0,NO_COUPON,1,0,2,Card,2.0,4,23.76,1454.05,11,0,0,643,303,61.66,0.42
10076,Female,23,UK,2023-06-01,2024-08-04,Email,Desktop,Monthly,1,19,7.67,3.7,0.88,0.36,455.3,63.19,1,NEW20,1,0,2,BKash,4.0,6,7.26,1021.82,9,0,0,240,670,23.96,0.63
